Source_File     ID    Size  Total_Amp 
hits_55.txt     6     4     23.67
hits_55.txt     7     1     45.69
hits_55.txt     8     2     36.00
hits_55.txt     9     1     24.90
hits_56.txt     0     2     18.24
hits_56.txt     1     1     44.39
hits_56.txt     2     1     20.54
hits_56.txt     3     2     23.75
hits_56.txt     4     2     21.50
hits_56.txt     5     1     23.73
hits_56.txt     6     2     25.79
hits_56.txt     7     1     32.60
hits_56.txt     8     1     32.61
hits_56.txt     9     1     40.79
hits_57.txt     0     1     21.68
hits_57.txt     1     1     21.30
hits_57.txt     2     1     19.87
hits_57.txt     3     4     52.88
hits_57.txt     4     2     21.76
hits_57.txt     5     4     86.97
hits_57.txt     6     2     30.35
hits_57.txt     7     4     71.04
hits_57.txt     8     1     38.17
hits_57.txt     9     1     23.44
hits_58.txt     0     2     24.23
hits_58.txt     1     1     25.60
hits_58.txt     2     1     17.09
hits_58.txt     3     2     35.71
hits_58.txt     4     1     23.64
hits_58.txt     5     1     22.73
hits_58.txt     6     1     36.47
hits_58.txt     7     1     20.05
hits_58.txt     8     4     75.20
hits_58.txt     9     1     22.48
hits_59.txt     0     1     22.53
hits_59.txt     1     3     20.03
hits_59.txt     2     2     46.76
hits_59.txt     3     2     24.02
hits_59.txt     4     1     18.58
hits_59.txt     5     1     18.95
hits_59.txt     6     1     30.91
hits_59.txt     7     1     32.92
hits_59.txt     8     1     25.94
hits_59.txt     9     1     23.22
hits_60.txt     0     1     42.13
hits_60.txt     1     1     24.83
hits_60.txt     2     1     38.32
hits_60.txt     3     2     32.47
hits_60.txt     4     1     21.60
hits_60.txt     5     1     30.46
hits_60.txt     6     2     17.38
hits_60.txt     7     2     26.51
hits_60.txt     8     1     22.17
hits_60.txt     9     1     24.62
hits_61.txt     0     1     23.48
hits_61.txt     1     1     25.21
hits_61.txt     2     1     25.42
hits_61.txt     3     2     24.75
hits_61.txt     4     1     24.02
hits_61.txt     5     1     25.31
hits_61.txt     6     1     21.87
hits_61.txt     7     1     21.08
hits_61.txt     8     1     28.13
hits_61.txt     9     2     19.64
hits_62.txt     0     2     21.68
hits_62.txt     1     2     57.57
hits_62.txt     2     1     22.34
hits_62.txt     3     1     30.07
hits_62.txt     4     1     23.16
hits_62.txt     5     1     30.25
hits_62.txt     6     2     23.28
hits_62.txt     7     1     22.26
hits_62.txt     8     4     57.17
hits_62.txt     9     1     25.41
hits_63.txt     0     1     60.05
hits_63.txt     1     7     97.10
hits_63.txt     2     2     23.80
hits_63.txt     3     1     19.29
hits_63.txt     4     2     31.59
hits_63.txt     5     2     40.63
hits_63.txt     6     2     30.14
hits_63.txt     7     2     38.43
hits_63.txt     8     1     21.08
hits_63.txt     9     1     25.03
hits_64.txt     0     2     22.17
hits_64.txt     1     1     20.74
hits_64.txt     2     2     20.86
hits_64.txt     3     2     35.25
hits_64.txt     4     2     21.01
hits_64.txt     5     1     23.59
hits_64.txt     6     1     21.59
hits_64.txt     7     2     42.41
hits_64.txt     8     2     23.15
hits_64.txt     9     1     30.81
hits_65.txt     0     1     38.71
hits_65.txt     1     1     20.14
hits_65.txt     2     1     22.29
hits_65.txt     3     1     33.83
hits_65.txt     4     1     23.49
hits_65.txt     5     2     23.16
hits_65.txt     6     1     19.83
hits_65.txt     7     2     27.63
hits_65.txt     8     1     32.18
hits_65.txt     9     1     20.57
hits_66.txt     0     2     26.82
hits_66.txt     1     2     26.78
hits_66.txt     2     2     29.51
hits_66.txt     3     2     30.04
hits_66.txt     4     2     46.36
